chr	start	end
chr18	50835679	50837679
chr6	26553103	26555103
chr4	153713021	153715021
chr19	54373726	54375726
chr3	122298406	122300406
chr16	8654294	8656294
chr2	142865238	142867238
chr9	127896446	127898446
chr10	44945416	44947416
chr17	42963631	42965631
chr1	235907986	235909986
chr8	58396329	58398329
chr19	44684755	44686755
chr6	18476728	18478728
chr9	111952390	111954390
chr9	66269248	66271248
chr3	45075534	45077534
chr1	160781224	160783224
chr10	72295217	72297217
chr3	153288557	153290557
chr9	104992637	104994637
chr10	3810489	3812489
chr17	47315136	47317136
chr11	35082330	35084330
chr3	188904966	188906966
chr5	157252210	157254210
chr3	49237815	49239815
chr9	114957480	114959480
chr1	192608391	192610391
chr7	66805	68805
chr1	26676627	26678627
chr7	155343951	155345951
chr21	33363288	33365288
chr9	751131	753131
chr4	88629827	88631827
chr1	244303374	244305374
chr3	156534585	156536585
chr20	50483237	50485237
chr4	38785068	38787068
chr1	65001130	65003130
chr1	244322174	244324174
chr11	65476412	65478412
chr6	26571373	26573373
chr6	30502627	30504627
chr5	136011232	136013232
chr6	163651419	163653419
