region	pvalue
chr17:70642923-70642923	6e-11
chr18:67561518-67561518	2e-8
chr18:12879466-12879466	1.9999999999999998e-26
chr18:12857758-12857758	1e-11
chr19:1124031-1124031	2e-18
chr19:1186316-1186316	4e-9
chr19:10427721-10427721	2e-22
chr19:10464843-10464843	5e-12
chr19:10469975-10469975	2e-9
chr19:10600418-10600418	6e-9
chr19:46849806-46849806	2e-11
chr19:49206108-49206108	1e-17
chr13:100040654-100040654	9e-10
chr14:35839236-35839236	3e-10
chr14:35563211-35563211	7e-10
chr14:75741751-75741751	2e-9
chr14:88488821-88488821	2e-17
chr15:38899190-38899190	5e-9
chr15:67442596-67442596	1e-16
chr15:67457698-67457698	1e-11
chr16:11365500-11365500	5e-14
chr16:11319357-11319357	3e-10
chr16:11749774-11749774	3e-13
chr16:23864590-23864590	3e-9
chr16:28517709-28517709	3e-29
chr16:30485393-30485393	5e-14
chr16:30970941-30970941	1e-10
chr16:50756540-50756540	6e-94
chr16:50694011-50694011	4e-48
chr16:50762771-50762771	1e-16
chr16:86015316-86015316	5e-16
chr16:86004110-86004110	1e-8
chr2:204612058-204612058	1e-20
chr2:219010146-219010146	2e-11
chr2:228660112-228660112	8e-12
chr2:231148128-231148128	5e-15
chr2:234168790-234168790	5e-67
chr2:241569692-241569692	1.9999999999999998e-25
chr2:241579108-241579108	6e-10
chr2:242737341-242737341	7e-10
chr3:18805211-18805211	3e-13
chr3:46428658-46428658	2e-8
chr3:49721532-49721532	7e-55
chr3:49656148-49656148	8e-11
chr3:137441372-137441372	8e-9
chr4:80887969-80887969	2e-8
chr4:102739980-102739980	3e-10
chr4:103434253-103434253	2e-18
chr4:123452231-123452231	7e-20
chr5:10521668-10521668	4e-8
chr5:10689562-10689562	6e-9
chr5:38867732-38867732	8e-15
chr5:40414989-40414989	1e-74
